COD_PRODUCTO;ID_PRODUCTO;NOMBRE_PRODUCTO;MEDIDA_PRODUCTO;COEF_MEDIDA_PRODUCTO;PRECIO_PRODUCTO;ESTADO_PRODUCTO
'14';'000010';'CAJA X PIZZA ECONOMICA (A PEDIDO) $ 38,00';'100';'1';'38';'ACTIVO'
'24';'000020';'CAJA X PIZZA CARTON.56';'100';'1';'41';'ACTIVO'
'27';'000030';'CAJA X PIZZA SUPER REFORZADA MARRONE';'100';'1';'85';'ACTIVO'
'28';'000040';'1/2 PIZZA GRIS';'100';'1';'33';'ACTIVO'
'29';'000050';'CAJA X PIZZA CHICA';'100';'1';'32';'ACTIVO'
'30';'000060';'LOMO CHICO GRIS';'100';'1';'28';'ACTIVO'
'31';'000070';'LOMO GRANDE GRIS';'100';'1';'33';'ACTIVO'
'32';'000080';'ÑOQUERA GRIS N°0';'100';'1';'10';'ACTIVO'
'33';'000090';'ÑOQUERA GRIS N°1';'100';'1';'14';'ACTIVO'
'34';'000100';'ÑOQUERA GRIS N° 2';'100';'1';'19';'ACTIVO'
'35';'000110';'CONOS PAPAS CHICO';'100';'1';'6';'ACTIVO'
'36';'000120';'CONOS PAPA CHICOS';'1000';'1';'55';'ACTIVO'
'37';'000130';'CONOS PAPAS GRANDES';'100';'1';'7';'ACTIVO'
'38';'000140';'CONOS PAPAS GRANDE';'1000';'1';'65';'ACTIVO'
'39';'000150';'PORTA PANCHOS GRIS';'100';'1';'5';'ACTIVO'
'40';'000160';'PORTA PANCHOS GRIS';'1000';'1';'40';'ACTIVO'
'41';'000170';'FAJA CARTON 50 CM';'KG';'0';'11';'ACTIVO'
'42';'000180';'FAJA CARTON 70 CM';'KG';'0';'11';'ACTIVO'
'43';'000190';'B.C. N°1';'100';'1';'6';'ACTIVO'
'44';'000200';'B.C. N°1';'1000';'1';'50';'ACTIVO'
'45';'000210';'B.C. N°2';'100';'1';'8';'ACTIVO'
'46';'000220';'B.C. N° 2';'1000';'1';'70';'ACTIVO'
'47';'000230';'B.C. N°3';'100';'1';'10';'ACTIVO'
'48';'000240';'B.C. N°3';'1000';'1';'90';'ACTIVO'
'49';'000250';'B.C. N°4';'100';'1';'14';'ACTIVO'
'50';'000260';'B.C. N°5';'100';'1';'17';'ACTIVO'
'51';'000270';'B.C. N° 6';'100';'1';'20';'ACTIVO'
'52';'000280';'B.C. N° 7';'100';'1';'23';'ACTIVO'
'53';'000290';'BANDEJAS CART.REDONDA N°20 (12 1/2)';'100';'1';'13';'ACTIVO'
'54';'000300';'BANDEJAS CART.REDONDA N°22 (13)';'100';'1';'15';'ACTIVO'
'55';'000310';'BANDEJAS CART.REDONDA N°30 (15)';'100';'1';'0';'ACTIVO'
'56';'000320';'BANDEJAS CART.REDONDA N°36 (16)';'100';'1';'30';'ACTIVO'
'57';'000330';'BANDEJAS DORADA/PLATEADA 1 KG RECTANGULAR';'1';'1';'1.6';'ACTIVO'
'58';'000340';'BANDEJAS DORADA/PLATEADA 1 KG REDONDA';'1';'1';'1.7';'ACTIVO'
'59';'000350';'BANDEJAS PLASTICAS N°101 C.FRIA';'100';'1';'12';'ACTIVO'
'60';'000360';'BANDEJAS PLASTICAS 101 C.CALIENTE';'16';'1';'100';'ACTIVO'
'61';'000370';'BANDEJAS PLASTICAS N°102 TRANSPARENTES';'100';'1';'17';'ACTIVO'
'62';'000380';'BANDEJAS PLASTICAS N° 102 REF.WORK';'100';'1';'18';'ACTIVO'
