COD_CLI;NRO_ZON;APNBR_CLI;DOM_PART_CLI;EST_CLI;CARACT_ZON
'116';'10';'ABRAHAM - CARNICERIA';'CENTRO';'ACTIVO';'X CENTRO'
'98';'19';'ADRIANA - PIZZERIA';'CENTRO';'ACTIVO';'X PATIO DE COMIDA'
'174';'14';'AGIOLINA SAN LUIS';'SAN LUIS';'ACTIVO';'PELLEGRINI'
'11';'4';'ALESSIO';'';'ACTIVO';'2 COVI'
'11';'3';'ALESSIO';'';'ACTIVO';'4 ANITA'
'90';'8';'ANGELA - ESPECIAS';'X FLORIDA';'ACTIVO';'X FLORIDA '
'188';'14';'ANGIOLINA GLOLOSINAS -------- ADELA';'SAN LUIS';'ACTIVO';'PELLEGRINI'
'176';'12';'ANGIOLINA GOLOSINAS - ITUZAINGO';'ITUZAINGO';'ACTIVO';'ITUZAINGO'
'123';'23';'ANGY CREACIONES';'ITUZAINGO';'ACTIVO';'FERIAS VARIAS'
'173';'14';'ANGY GOLOSINAS';'PELLEGRINI';'ACTIVO';'PELLEGRINI'
'175';'14';'ANITA GOLOSINAS';'ITUZAINGO Y SAN JUAN';'ACTIVO';'PELLEGRINI'
'14';'12';'ARIEL';'ITUZAINGO';'ACTIVO';'ITUZAINGO'
'169';'21';'AXIS';'FLORIDA ANTES DE URQUIZA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'144';'22';'BARBASS - RESTAURANTES';'SAN MARTIN';'ACTIVO';'SAN MARTIN'
'84';'6';'BELLA VICTORIA';'X FLORIDA P.A.';'ACTIVO';'X FLORIDA P.A.'
'33';'21';'BETTY';'URQUIZA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'53';'10';'BIANCA PIZZERIA';'CENTRO';'ACTIVO';'X CENTRO'
'64';'17';'BIJURI TONKY';'SAN MARTIN CASI BS. ASA';'ACTIVO';'ALBERDI'
'248';'13';'BLACK - JUEGOS SEGA';'MENDOZA';'ACTIVO';'MENDOZA'
'92';'19';'BLANCA MALDONADO';'PATIO DE COMIDA';'ACTIVO';'X PATIO DE COMIDA'
'61';'21';'BRY-MAY';'ITUZAINGO';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'105';'10';'BURBUJAS';'CENTRO';'ACTIVO';'X CENTRO'
'236';'11';'CAFE DON JOSE';'X ITUZAINGO';'ACTIVO';'X ITUZAINGO'
'231';'14';'CAMPO';'PELLEGRINI Y MENDOZA';'ACTIVO';'PELLEGRINI'
'16';'12';'CARITO DE FRUTA';'ITUZAINGO Y MENDOZA';'ACTIVO';'ITUZAINGO'
'10';'4';'CARLOS CABRERA';'FRENTE A LA UNSA';'ACTIVO';'2 COVI'
'10';'2';'CARLOS CABRERA';'FRENTE A LA UNSA';'ACTIVO';'3 DAVID'
'232';'24';'CARNICERIA PUEYTREDON';'PUERREDON';'ACTIVO';'VARIAS'
'19';'18';'CASA GUEMESS';'ESPAÑA';'ACTIVO';'9 DE JULIO Y AFINES'
'227';'10';'CD' S';'SUBSUELO MERCADO SAN. MIGUEL';'ACTIVO';'X CENTRO'
'208';'21';'CELLULARES X URQUIZA';'URQUIZA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'45';'10';'CIRO - POLLERIA';'CENTRO';'ACTIVO';'X CENTRO'
'67';'10';'COCCO - PIZZERIA';'CENTRO';'ACTIVO';'X CENTRO'
'79';'18';'COFFE HOUSE';'DEAN FUNES';'ACTIVO';'9 DE JULIO Y AFINES'
'221';'23';'COMESTIBLES SAN MARTIN';'SAN MARTIN';'ACTIVO';'FERIAS VARIAS'
'163';'12';'CONFIERIA ITUZANGO';'ITUZAINGO';'ACTIVO';'ITUZAINGO'
'226';'18';'CONFITERIA GALLINA';'ESPAÑA';'ACTIVO';'9 DE JULIO Y AFINES'
'157';'13';'CONFITERIA LIA';'FLORIDA';'ACTIVO';'MENDOZA'
'125';'23';'CORRALES';'ITZAINGO - FREE SHOOP';'ACTIVO';'FERIAS VARIAS'
'192';'18';'COVI';'ZUVIRIA';'ACTIVO';'9 DE JULIO Y AFINES'
'179';'12';'CRECER GOLOSINAS';'ITUZAINGO';'ACTIVO';'ITUZAINGO'
'238';'21';'CUERO  BOSH';'FLORIDA';'ACTIVO';'CERCANIA MERCADO S. MIGUEL'
'225';'20';'DIEGO - ALEJANDRO';'URQUIZA';'ACTIVO';'URQUIZA'
'230';'14';'DIXY IMPORTADOS';'PELLEGRINI 351';'ACTIVO';'PELLEGRINI'
'46';'10';'DON EMILIO';'CENTRO';'ACTIVO';'X CENTRO'
'209';'10';'DON EMILO - ROBERTO';'X CENTRO';'ACTIVO';'X CENTRO'
'47';'10';'DON JOSE';'CENTRO';'ACTIVO';'X CENTRO'
'94';'19';'DON JUAN - PIZZERIA';'CENTRO';'ACTIVO';'X PATIO DE COMIDA'
'119';'10';'DORA';'CENTRO';'ACTIVO';'X CENTRO'
'118';'10';'DORA - LOC 41';'CENTRO';'ACTIVO';'X CENTRO'
'106';'8';'DORIS -';'X FLORIDA';'ACTIVO';'X FLORIDA '
'143';'17';'DOV';'ALBERDI 177';'ACTIVO';'ALBERDI'
'239';'18';'DRUGSTOR (LADO ESCULELA LA MERCED)';'CASEROS';'ACTIVO';'9 DE JULIO Y AFINES'
'23';'11';'EL 35 (ENSALADA DE FRUTA)';'X ITUZAINGO';'ACTIVO';'X ITUZAINGO'
'50';'10';'EL 36 - FLORENCIA';'CENTRO';'ACTIVO';'X CENTRO'
'51';'10';'EL 36 - LOIDA';'CENTRO';'ACTIVO';'X CENTRO'
'166';'22';'EL BOSQUE - KIOSCO';'SAN MARTIN Y FLORIDA';'ACTIVO';'SAN MARTIN'
