COD_PRODUCTO;ID_PRODUCTO;NOMBRE_PRODUCTO;MEDIDA_PRODUCTO;COEF_MEDIDA_PRODUCTO;PRECIO_PRODUCTO;ESTADO_PRODUCTO
8;3;'1/2 PIZZA GRIS';'100';1;8;'ACTIVO'
6;0;'CAJAS PARA PIZZA ECONÓMICAS (A PEDIDO)';'100';1;6;'ACTIVO'
4;1;'CAJAS PARA PIZZA';'100';1;4;'ACTIVO'
5;2;'CAJAS PARA PIZZA SUPER REFORZADAS MARRONES (CARTON 30)';'100';1;5;'ACTIVO'
9;4;'CAJAS PIZZA CHICA GRIS';'100';1;0;'ACTIVO'
10;5;'LOMOS CHICOS GRIS (CARTÓN 52)';'100';1;0;'ACTIVO'
11;6;'LOMOS GRANDES GRIS (CARTÓN 52)';'100';1;0;'ACTIVO'
12;8;'ÑOQUERA CARTÓN GRIS N° 0';'100';1;0;'ACTIVO'
13;9;'ÑOQUERA CARTÓN GRIS N°1';'100';1;0;'ACTIVO'
14;10;'ÑOQUERA CARTÓN GRIS N°2';'100';1;0;'ACTIVO'
15;11;'CONOS PAPAS FRITAS GRIS CHICO';'100';1;0;'ACTIVO'
16;12;'CONOS PAPAS FRITAS GRIS CHICO';'1000';1;0;'ACTIVO'
17;13;'CONOS PAPAS FRITAS GRIS GRANDE';'100';1;0;'ACTIVO'
18;14;'CONOS PAPAS FRITAS GRIS GRANDE';'1000';1;0;'ACTIVO'
19;15;'PORTA PANCHO CARTÓN GRIS';'100';1;0;'ACTIVO'
20;16;'PORTA PANCHO CARTÓN GRIS GRANDE';'1000';1;0;'ACTIVO'
21;17;'FAJA DE CARTÓN 50 CM.';'KG';0;0;'ACTIVO'
22;18;'FAJA DE CARTÓN 70 CM.';'KG';0;0;'ACTIVO'
23;28;'RESMAS DE HOJAS A4';'500';1;0;'ACTIVO'
24;38;'CD 700 MB';'100';1;0;'ACTIVO'
