COD_PRODUCTO;ID_PRODUCTO;NOMBRE_PRODUCTO;MEDIDA_PRODUCTO;COEF_MEDIDA_PRODUCTO;PRECIO_PRODUCTO;ESTADO_PRODUCTO
'6';'000000';'CAJAS PARA PIZZA ECONÓMICAS (A PEDIDO)';'100';'1';'6';'ACTIVO'
'4';'000001';'CAJAS PARA PIZZA';'100';'1';'4';'ACTIVO'
'5';'000002';'CAJAS PARA PIZZA SUPER REFORZADAS MARRONES (CARTON 30)';'100';'1';'5';'ACTIVO'
'8';'000003';'1/2 PIZZA GRIS';'100';'1';'8';'ACTIVO'
'9';'000004';'CAJAS PIZZA CHICA GRIS';'100';'1';'0';'ACTIVO'
'10';'000005';'LOMOS CHICOS GRIS (CARTÓN 52)';'100';'1';'0';'ACTIVO'
'11';'000006';'LOMOS GRANDES GRIS (CARTÓN 52)';'100';'1';'0';'ACTIVO'
'12';'000008';'ÑOQUERA CARTÓN GRIS N° 0';'100';'1';'0';'ACTIVO'
'13';'000009';'ÑOQUERA CARTÓN GRIS N°1';'100';'1';'0';'ACTIVO'
'14';'000010';'ÑOQUERA CARTÓN GRIS N°2';'100';'1';'0';'ACTIVO'
'15';'000011';'CONOS PAPAS FRITAS GRIS CHICO';'100';'1';'0';'ACTIVO'
'16';'000012';'CONOS PAPAS FRITAS GRIS CHICO';'1000';'1';'0';'ACTIVO'
'17';'000013';'CONOS PAPAS FRITAS GRIS GRANDE';'100';'1';'0';'ACTIVO'
'18';'000014';'CONOS PAPAS FRITAS GRIS GRANDE';'1000';'1';'0';'ACTIVO'
'19';'000015';'PORTA PANCHO CARTÓN GRIS';'100';'1';'0';'ACTIVO'
'20';'000016';'PORTA PANCHO CARTÓN GRIS GRANDE';'1000';'1';'0';'ACTIVO'
'21';'000017';'FAJA DE CARTÓN 50 CM.';'KG';'0';'0';'ACTIVO'
'22';'000018';'FAJA DE CARTÓN 70 CM.';'KG';'0';'0';'ACTIVO'
'23';'000028';'RESMAS DE HOJAS A4';'500';'1';'0';'ACTIVO'
'24';'000038';'CD 700 MB';'100';'1';'0';'ACTIVO'
